pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,840.2439619074498
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,841.1315539528744
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,841.1315539528744
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,841.1315539528744
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,841.1315539528744
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,841.1315539528744
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,841.1315539528744
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,841.8317639630208
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,842.7837415240582
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,842.7837415240582
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,842.7837415240582
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,842.7837415240582
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,842.7837415240582
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,842.7837415240582
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,841.8317639630208
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,842.7837415240582
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,842.7837415240582
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,842.7837415240582
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,842.8557471672402
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,842.8557471672402
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,842.8557471672402
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,841.9037696062029
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,842.8557471672402
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,842.8557471672402
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,842.8557471672402
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,842.8557471672402
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,842.8557471672402
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,842.8557471672402
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,806.1524668624432
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,806.1524668624432
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,805.220227516728
